Date,Open,Volume,Stock,Return_1d,Volatility,Intraday_return,Close_yesterday,Return_prev_5d,Return_prev_10d,DayOfWeek,Month,Oil_Open,Oil_volume,Return_prev_5d_oil,Return_prev_10d_oil,Target
2023-09-28,10.981970684446159,8200,CSUAY,0.005511907018999951,0.019979765113201004,0.006304245864912517,10.99062442779541,1.0031595005940004,1.0079364079819049,3,9,93.77999877929688,406709,1.0451857991282418,1.0390416648191168,1
2019-11-26,177.0609606726115,400,MITSY,-0.006161207947108505,0.00937366574060601,-0.017265892188512377,175.0825653076172,1.0239039793117017,1.0241067657635818,1,11,57.91999816894531,443816,1.0507154371217517,1.0213028010691092,0
2020-10-02,19.36692563296935,8151479,SHEL,0.014851377396037702,0.01941309300286895,0.03317937560886364,19.71668815612793,0.9417248251419525,0.8984432505439692,4,10,38.599998474121094,391428,0.9619876079677795,0.9418633093124636,1
2018-01-23,60.79879149919584,10281800,XOM,0.0005665062956299316,0.008204649067736651,0.0005666068187855089,60.798797607421875,1.0147175698180027,1.012738049714651,1,1,63.880001068115234,662456,0.9962341461557602,1.0285112935247351,1
2022-04-13,75.46997619002562,19306800,XOM,0.014135523996217536,0.017860159546082683,0.0023091669187482733,74.58988189697266,1.0233111351431012,1.021723356762655,2,4,100.91000366210938,312502,1.0454119813440974,0.9330365308742464,1
2023-07-28,54.41705937425695,3903043,SHEL,0.0023027103173172137,0.014254687432879684,0.0021377610669659486,54.408103942871094,0.96553915170974,1.0019775042644306,4,7,79.83999633789062,299547,1.0391851129495882,1.0619198923670647,1
2023-01-23,158.2046958604634,8381300,CVX,-0.001326523395698942,0.010506975817123712,-0.0030351693139456515,157.93402099609375,1.0188103174786758,1.0245806568548619,0,1,81.79000091552734,297076,1.0181567360025068,1.1022095873476772,0
2020-09-02,2.640735234431233,20711300,PBR,0.002303986126379165,0.0337718171060937,-0.0022936304072485036,2.628622055053711,1.0689654336584435,1.018779226892303,2,9,43.02000045776367,421771,0.9854805006458347,0.9960400190441628,0
2023-06-02,92.6591402827738,4958500,COP,0.02833332424934465,0.012436514049192637,0.009767145400632726,90.98621368408203,0.9787588537262613,0.9879887950429506,4,6,70.20999908447266,322596,0.9759153095804927,0.9755079025705304,1
2023-09-19,30.430444863545716,4509600,ENB,-0.001998773896912609,0.02286097121460742,-0.008510616654199943,30.231889724731445,1.0257762722622763,0.9923490621741062,1,9,92.22000122070312,94597,1.0297164242218344,1.0552543636016725,0
2022-04-25,23.498820738609364,18157200,BP,-0.03848738272555663,0.017725985677953485,-0.0027768110096852983,24.371566772460938,0.9561602373496435,0.9806367954991331,0,4,101.37999725341797,328153,0.9432584840440177,1.0387746537325682,0
2022-08-04,171.85450068084597,2478900,CAT,0.004210676968468885,0.029718779728812542,0.004265551660797229,171.8638916015625,0.9735413697983176,1.0103871897157752,3,8,90.94999694824219,334931,0.9402614124017781,0.9409445261845021,1
2023-11-14,31.54357652473461,7451300,BP,0.00420183489350312,0.021176400690339298,0.0025167829086192306,31.490646362304688,1.019217140551515,0.9882895169169081,1,11,78.52999877929688,263002,1.0115031583049512,0.9659344035893375,1
2021-12-10,226.38107102381716,8400,MITSY,0.01300882070931797,0.01740003081077648,-0.02162392119057166,218.6415557861328,1.0151144004712536,0.9755044370499475,4,12,70.68000030517578,397883,1.070630850502445,1.0409391174330038,0
2018-07-06,3.4646753379550357,94000,ITOCY,0.0033802858889349086,0.008908012791008058,0.0005618240146716413,3.4549431800842285,0.9938410459996084,0.9782309571926638,4,7,73.16000366210938,611419,0.993056575520414,1.1129081694004943,1
2022-03-29,70.41597687895202,27036300,XOM,-0.005313496280552554,0.02888540437927088,0.019304606300194038,72.15874481201172,1.0118524213229967,1.0723905101626616,1,3,103.47000122070312,387200,0.948103051709968,1.0987141891545518,1
2020-04-02,29.54496235317156,62000200,XOM,0.07647246980424827,0.05470761693685112,0.042849761886685656,28.622150421142578,0.9667696040743061,1.090037516539878,3,4,21.219999313354492,1095972,0.8986725275719477,0.8053132442072602,1
2019-02-14,113.36389426736638,2877500,CAT,-0.003606488974871591,0.01496865129047841,0.00637423239999757,114.49944305419922,1.0335457263104308,0.9995495667702159,3,2,53.959999084472656,623546,1.023936211072188,1.002045001087178,1
2023-04-18,103.28346985581067,17436100,XOM,0.019529319357958208,0.02148169486354682,0.0222921852029363,103.56336212158203,0.9943650296630013,0.9876862436188883,1,4,81.0,96290,0.9914142406632791,1.0050982799234593,1
2022-07-14,39.08542635536206,6488544,SHEL,-0.03432409969529027,0.021320173308489267,0.017868906372707105,41.19792175292969,0.9760981410026749,0.9083651050078058,3,7,96.56999969482422,387528,0.9374087404355,0.8772090009343194,1
2019-06-26,4.758432042083417,58240700,PBR,-0.007509362808582387,0.019699799042205028,-0.006265688047036866,4.764394760131836,1.0025094693311665,1.0506244288375937,2,6,58.84000015258789,686817,1.0757069128830548,1.1308174133995084,0
2020-07-07,2.5860316434363106,18439400,PBR,-0.024221507840996526,0.034241004284515625,-0.018561467463608095,2.601032018661499,1.047101589073114,1.0408164978691896,1,7,40.68000030517578,256596,1.0234256999320754,1.0042017297945967,0
2018-05-16,4.951742299126672,15800,CSUAY,0.003777190143551712,0.024004028539729206,0.024084778154500608,5.051921844482422,1.0579418926455368,1.0895060779388308,2,5,71.0199966430664,574279,1.0023896284847318,1.0497570622439765,1
2019-08-20,148.53115045410507,14800,MITSY,-0.0028398945321645996,0.014323014441632767,0.006252893385658265,149.88555908203125,0.9958220263516878,0.9721403684828548,1,8,56.099998474121094,659258,0.9844133202551344,1.0481073646275072,1
2021-05-13,217.72249077559113,6800,MITSY,0.003160562288016422,0.02835204664478135,-0.019817847826651414,212.73533630371094,0.9602401664014987,1.066054140363844,3,5,65.75,547691,1.0211714227471032,1.016459001071589,0
2022-11-16,221.38814001714957,3062000,CAT,-0.009250161991959716,0.019730687554240033,-0.006752144577156782,221.9463348388672,1.040125955175575,1.0934558074101182,2,11,86.88999938964844,225668,1.0126994793736128,0.9657777574327256,0
2023-11-01,11.157120406461084,16234500,PBR,0.02199985530841153,0.01987453674271293,0.011881208561590917,11.046655654907227,0.9615385668986577,0.9079901826679094,2,11,81.4800033569336,321592,0.94882301466427,0.9173459796537384,1
2019-01-23,26.962450496769996,4603300,BP,0.0009981588093415095,0.009721027503807728,-0.003972190969736222,26.828571319580078,0.9960238772716339,1.0012491859363688,2,1,52.95000076293945,702866,1.0088274626575475,1.0560466248281164,0
2021-10-04,6.33617998219494,256300,CSUAY,0.017410407811518702,0.037527727227118134,0.00645860278396948,6.267974853515625,1.067363382902043,1.0612008108946183,0,10,75.9000015258789,458006,1.005699142777577,1.0795276179411142,1
2020-01-29,26.62777435717906,5587600,BP,-0.006415401835247692,0.007899717651738844,-0.006415441845648684,26.62777328491211,0.9875922625452231,0.9636786642076008,2,1,53.970001220703125,624979,0.9425449058901304,0.9184269270592273,0
2022-01-27,5.203332916845853,46722900,PBR,0.0124908183374004,0.018518902291773907,-0.012186385564036839,5.076513290405273,1.0758890327173256,1.132279312197606,3,1,87.1500015258789,427804,1.0051783307288915,1.0569941810171726,0
2018-12-21,41.68834836207463,6377170,SHEL,0.004430084515872901,0.007812961081344801,0.0003529907839310287,41.51913070678711,0.9690880770370455,0.95144164420861,4,12,46.25,694003,0.8960937575087882,0.8720775619813976,1
2023-11-02,227.6581829260776,7749900,CAT,0.03144551314367794,0.02532522500462339,0.014079694751746752,223.8252410888672,0.9562759908254004,0.9214594108006274,3,11,80.81999969482422,307122,0.9667107718598293,0.9000783257163175,1
2022-08-03,8.431929800786776,14600,CSUAY,0.002722284601745395,0.017303722593241557,0.009132455087817792,8.485833168029785,0.9624454395028275,0.9582609184486884,2,8,93.83000183105469,395099,0.9707998775970906,0.9233326442058868,1
2019-11-07,28.04422760188778,11570900,BP,0.013794150290346474,0.016746216470181655,-0.0020305032476239937,27.606475830078125,1.0393035896532246,1.0048457554617325,3,11,56.349998474121094,678165,1.0400516455651998,1.0021340731435473,0
2020-10-22,20.033910365979054,5203197,SHEL,0.024969609490451905,0.01656331704614474,0.033292798624168896,20.19659423828125,0.9787149912511345,0.9391072955755185,3,10,40.040000915527344,307494,0.9772949139169211,0.9718378274802872,1
2018-06-25,29.23096028028862,6257800,BP,-0.033639405705475856,0.01801061860328488,-0.015137945641071293,29.79060173034668,1.0094821364793223,0.9715618790637761,0,6,68.75,816207,1.0414579107090864,1.037518962393086,0
2021-02-26,5.736178487320761,172000,ITOCY,-0.006274857343453566,0.010113399615806252,0.021038356185218543,5.89384126663208,0.9871230489589123,1.0116939669132847,4,2,63.459999084472656,472723,1.0724172346266063,1.090830991558607,1
2020-05-13,21.904219523768838,4229300,ENB,-0.030716679268126712,0.02992117878547372,-0.030716716884243378,21.904218673706055,1.0539569137627323,1.008132748392987,2,5,25.299999237060547,150864,1.0746144615508644,1.7118193870078027,0
2018-02-01,88.06410149563878,7844500,CVX,0.001755244748567364,0.011063131978075194,-0.0002388437871124749,87.88880157470703,0.9594332863129088,0.9525798083290279,3,2,64.76000213623047,685750,0.9880934398738861,1.0121970693461848,0
2023-01-03,98.36416709416103,15146200,XOM,-0.0343608058695718,0.014750386377576101,-0.029786816172593045,98.83009338378906,1.0149062960293334,1.0534861959590383,1,1,80.56999969482422,338520,1.0087984489582367,1.0803607638596129,0
2022-10-26,151.88753907427602,6865300,CVX,0.012348020873229837,0.021273056935919434,0.010095761691354843,151.54962158203125,1.0412499080043454,1.109679922067321,2,10,85.06999969482422,287182,0.9973114745911296,0.977655585845641,1
2018-08-28,3.1073142852859474,15634400,PBR,-0.014285938319432145,0.022484936306339097,-0.016159702366599027,3.101407527923584,1.0233918662340096,0.9090909472104057,1,8,68.93000030517578,426833,1.022568735069014,1.0272971629782726,0
2018-09-10,83.24236432532349,5870900,CVX,-0.0010470547822348797,0.011873190996877713,-0.008230069702248821,82.64380645751953,0.9674150060354655,0.9629441730408604,0,9,67.81999969482422,571174,0.9706303300554628,0.9858847321962664,0
2019-05-02,4.4030105788346985,29300,CSUAY,0.010250437446611693,0.007515152827878795,0.01836967241232612,4.43839693069458,0.9887388004639045,0.9553863590268272,3,5,63.61000061035156,914661,0.9753105254875717,0.9974905920385184,1
2021-09-24,3.388472345642829,17546800,PBR,-0.00866212878492345,0.02772417726533701,0.008814902277338721,3.4482102394104004,1.0700309345379249,1.0452717541113532,4,9,73.23999786376953,350382,1.0184799473182737,1.0513482755073678,1
2023-05-18,10.826752914666782,10000,CSUAY,0.005010814714394574,0.017252113719714645,-0.001422507622102609,10.757448196411133,0.9824190566967176,1.0480120432171103,3,5,72.75,80864,1.0276562580571817,1.0622812780705198,0
2021-04-23,209.7247900181767,3458300,CAT,0.009874374543973552,0.012379499858447619,0.003269968599599604,208.3532257080078,0.980845175560869,0.9919394693800013,4,4,61.650001525878906,345407,0.9730714282563498,1.0355698014363892,1
2021-11-10,5.460756632354433,80000,ITOCY,-0.03811878034132665,0.02144780237927562,0.03885224251983499,5.897733688354492,1.0327197938842771,1.0821428774535558,2,11,84.52999877929688,555215,1.0406876192269798,1.0180256205874394,1
2018-05-24,3.7089543620728835,38000,ITOCY,-0.019901808609482097,0.008895982589836518,-0.004985581963719454,3.7654013633728027,1.0339390467648566,1.0400537477030818,3,5,71.83000183105469,640725,1.0048957684232702,1.0067263974696412,0
2019-07-22,48.26196819714404,1343707,SHEL,0.00392768218829187,0.007385974205675685,0.003454793022123148,48.239234924316406,0.9868218013690431,0.9880474445568352,0,7,56.220001220703125,619483,0.9337025739921914,0.9647936388368203,1
2020-03-24,24.329700071858454,19496740,SHEL,0.19679475020423975,0.10382018906804442,0.05209698980143451,21.388132095336914,1.0455962594952772,0.7259198565657264,1,3,23.8700008392334,659697,0.8667903506138407,0.679860308364312,1
2019-09-23,92.71070642508583,4705500,CVX,0.004665381204727703,0.009454307897322461,0.010926737683329302,93.28850555419922,1.0016110954244744,1.0412933435036937,0,9,59.25,526785,0.923529391786866,1.0041486894519827,1
2022-01-03,5.9736450170948014,143000,ITOCY,-0.00844842668232404,0.00547580084499393,-0.005702158251361,5.990190029144287,1.0030964036506869,1.010839150879403,0,1,75.69000244140625,317628,0.9952361967473156,1.061388631620836,0
2023-05-30,6.854412804506429,135000,ITOCY,0.019108304649693153,0.008363499636710804,-0.0004259916662164853,6.723027229309082,0.9843259991119625,0.9881275776419194,1,5,73.2300033569336,440862,1.009445760874484,1.0219378082576849,0
2021-12-06,6.418025493621826,15300,CSUAY,0.008574502776177662,0.02740056494964737,0.0,6.363461971282959,1.1120381280300518,1.1227436844365293,0,12,67.0199966430664,401060,0.9472481061758724,0.8706964975664637,0
2022-06-16,137.31545326326554,18125900,CVX,-0.05345193170480578,0.01844471356152572,-0.027885498598145264,141.0243682861328,0.9253040696297802,0.9332953707416671,3,6,115.9800033569336,162543,0.9489753561958989,0.9866517912952312,0
2020-05-20,35.327688399057735,7203000,COP,0.034684748733189386,0.03409379259487181,0.012847014712794591,34.58207321166992,1.069691938055806,1.0643786191641345,2,5,31.889999389648438,406431,1.285092875581745,1.3547311508992643,1
2019-12-12,25.80087554497902,2469800,ENB,-0.010090477756584781,0.004304742709070367,-0.0064918205893612635,25.894670486450195,1.0046787395968086,1.0184453842692118,3,12,58.880001068115234,530851,1.0056477496942302,1.01118564282145,0
2019-12-26,4.8120585983822455,9118300,PBR,0.016383028288789347,0.021624484042436436,0.005610862849274367,4.7610578536987305,0.9993703303378566,1.0101846449366587,3,12,61.20000076293945,265091,1.0029542147427248,1.0399932327424384,1
2023-02-02,237.0168815399974,6130300,CAT,-0.018594166298945947,0.018588988607140554,-0.017767648907218492,237.21649169921875,0.9520066474181885,1.0154221672548946,3,2,76.79000091552734,339755,0.9432169071371519,0.951201318566012,0
